event,time
7 years old ,0.0
    boy ,0.0
    referred to the University Children's Hospital Tuebingen ,0.0
    second relapse of pre-B%20ALL ,0.0
    first relapse treated with allogeneic HSCT ,-672.0
    hemoglobin 8.5 g/dl ,0.0
    thrombocytes 13.000/μl ,0.0
    WBC 940/μl ,0.0
    neutrophils 50/μl ,0.0
    CRP 6.83 mg/dl ,0.0
    ferritin 182 μg/dl ,0.0
    chronically reduced general condition ,0.0
    cachexia ,0.0
    dry skin ,0.0
    pallor ,0.0
    multiple hematomas ,0.0
    hepatosplenomegaly ,0.0
    antibiotic chemoprophylaxis ,0.0
    ceftriaxone ,0.0
    teicoplanin ,0.0
    acyclovir ,0.0
    antifungal chemoprophylaxis ,0.0
    caspofungin ,0.0
    pain in the left flank ,0.0
    continuous infusion of morphine ,0.0
    pain aggravated ,120.0
    ultrasound scan ,120.0
    no pathology apart from hepatosplenomegaly ,120.0
    day +5 of blinatumomab treatment ,120.0
    somnolent ,144.0
    sleepy ,144.0
    overdose of morphine assumed ,144.0
    dose reduction ,144.0
    reacted with delay ,144.0
    opened eyes when addressed ,144.0
    cerebral side effect of blinatumomab presumed ,144.0
    neurological condition worsened ,168.0
    cerebral CT scan ,168.0
    MRI scan ,168.0
    multiple cerebral hemorrhages ,168.0
    cardio-respiratory decompensation ,168.0
    transferred to intensive care unit ,168.0
    mechanical ventilation ,168.0
    catecholamine therapy ,168.0
    blinatumomab treatment stopped ,168.0
    hemoglobin 6.7 g/dl ,168.0
    thrombocytes 49.000/μl ,168.0
    WBC 120/μl ,168.0
    neutrophils 20/μl ,168.0
    CRP 23.13 mg/dl ,168.0
    ferritin 1439 μg/dl ,168.0
    echocardiography ,168.0
    multiple thrombi in left and right ventricle ,168.0
    thromboembolic events presumed ,168.0
    endocarditis with multiple septic embolisms suspected ,168.0
    antibiotic regimen intensified ,168.0
    meropenem ,168.0
    teicoplanin ,168.0
    gentamicin ,168.0
    antimycotic treatment continued ,168.0
    caspofungin 50 mg/day ,168.0
    CT scans of thorax ,180.0
    CT scans of abdomen ,180.0
    CT scans of pelvis ,180.0
    multiple systemic thromboembolic lesions ,180.0
    ischemia ,180.0
    bleeding ,180.0
    infarction ,180.0
    lungs ,180.0
    heart ,180.0
    kidneys ,180.0
    liver ,180.0
    intestines ,180.0
    muscles ,180.0
    bone marrow aspiration ,180.0
    bone marrow aplasia ,180.0
    lymphatic blasts ,180.0
    cerebral pressure rising ,180.0
    etiology unknown ,180.0
    cerebral herniation ,192.0
    died ,192.0
    autopsy ,192.0
    invasive mycosis ,192.0
    R. pusillus ,192.0
    macroscopic examination ,192.0
    microscopic examination ,192.0
    systemic fungal infection ,192.0
    PCR-based identification ,192.0
    cerebral lesions ,168.0
    septic embolic infarctions ,168.0
    bleeding ,168.0
    right ventricular thrombi ,180.0
    left ventricular thrombi ,180.0
    coronary artery occlusion ,180.0
    fungal hyphae in coronary artery ,180.0
    multiple infarcts in left kidney ,180.0
    tubular necrosis ,180.0
    hemorrhagic infarct ,180.0
    occluded artery ,180.0
    fungal hyphae in vessel ,180.0
    ulcerations in colon ,180.0
    neutropenia ,0.0
    disseminated disease ,180.0
    disseminated mucormycosis ,180.0
    fungal infection ,180.0
    cerebral infiltration ,168.0
    pulmonary mucormycosis ,180.0
    systemic thromboembolic lesions ,180.0
    septic embolic infarctions in multiple organs ,180.0
    cerebral herniation ,192.0
    death ,192.0
    autopsy findings ,192.0
    PCR confirmation of R. pusillus ,192.0
    no detection in tracheal secretion ,192.0
    proof of R. pusillus in lungs ,192.0
    other organs ,192.0
    original location of infection unclear ,180.0
    health care-related infection not excluded ,180.0
    caspofungin prophylaxis ,0.0
    lack of amphotericin B treatment ,168.0
    delay in diagnosis ,168.0
    active malignancy ,0.0
    cytopenia ,0.0
    fulminant mucormycosis ,180.0
    blinatumomab treatment ,0.0
    targeted therapy ,0.0
    reduced immunocompetence after HSCT ,-672.0
    increased vulnerability to infections ,0.0
    lack of prospective studies ,0.0
    antifungal prophylaxis ,0.0
    need for amphotericin B prophylaxis ,0.0
"Alright, let's tackle this case report. The patient is a 7-year-old boy with a complicated medical history. He's been referred to the University Children's Hospital Tuebingen after a second relapse of pre-B-ALL. His first relapse was treated with allogeneic HSCT from an unrelated donor. Upon admission (day 0), his bloodwork showed compromised values: hemoglobin 8.5 g/dl, thrombocytes 13,000/μl, WBC 940/μl with 50/μl neutrophils, CRP 6.83 mg/dl, and ferritin 182 μg/dl. He presented with a chronically reduced general condition, cachexia, dry skin, pallor, multiple hematomas, and hepatosplenomegaly. ",
"He received prophylaxis with ceftriaxone, teicoplanin, acyclovir, and caspofungin. Even before starting blinatumomab, he had left flank pain treated with morphine. On day +5 of blinatumomab, the pain worsened. An ultrasound showed no pathology except known hepatosplenomegaly. By day +6, he became somnolent and sleepy, initially thought to be a morphine overdose. After reducing the dose, he still had delayed responses. A cerebral CT and MRI showed multiple hemorrhages. He decompensated cardio-respiratorily, moved to ICU, got mechanical ventilation and catecholamines, and blinatumomab was stopped. His blood counts dropped further: hemoglobin 6.7 g/dl, thrombocytes 49,000/μl, WBC 120/μl with 20/μl neutrophils, CRP 23.13 mg/dl, ferritin 1439 μg/dl. Echocardiography revealed thrombi in both ventricles, leading to suspicion of thromboembolic events. Antibiotics were intensified with meropenem, teicoplanin, gentamicin; caspofungin continued. CT scans 12 hours later showed systemic thromboembolic lesions in lungs, heart, kidneys, liver, intestines, muscles. Bone marrow aspiration showed aplasia with blasts. Cerebral pressure rose, and he died from herniation on day +7. Autopsy revealed invasive R. pusillus mycosis.",
"Starting with the admission event, which is at time 0. The events before admission, like the first relapse treated with HSCT four weeks prior, would be -672 hours (4 weeks * 7 days * 24 hours). The initial presentation on admission includes his compromised blood values and physical signs, all at 0. The prophylaxis medications (ceftriaxone, teicoplanin, acyclovir, caspofungin) started on admission, so also 0. The left flank pain started before blinatumomab, but since blinatumomab started on day 0, the pain's time is 0. The pain aggravated on day +5, which is 5 days * 24 = 120 hours. Ultrasound done same day, 120. Day +6 symptoms (somnolence, sleepiness) at 144 hours. Cerebral imaging at 168 hours. Transfer to ICU, stopping blinatumomab, worsening blood counts at 168. Echocardiography findings and antibiotic changes also at 168. Subsequent CT scans 12 hours later would be 180. Bone marrow results at 180. Cerebral herniation and death at day +7, which is 192 hours. Autopsy findings at 192.",
